ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice
000503-00-0006,C01,C16,C13,C02,C05,C09,C12,,,,,,,,,
000503-00-0011,C01,C10,C02,C03,C05,C08,C13,C09,C04,C06,C07,C12,C14,C15,C16,C11
000503-00-0012,C01,C05,C07,C08,C02,C10,C11,C04,C16,C14,,,,,,
000503-00-0015,C01,C04,C05,C09,C12,C13,C16,C02,,,,,,,,
000503-00-0020,C01,C06,,,,,,,,,,,,,,
000503-00-0021,C01,C13,C02,C09,C06,C05,C16,,,,,,,,,
000503-00-0036,C01,C13,C02,,,,,,,,,,,,,
000503-00-0040,C01,C11,C03,,,,,,,,,,,,,
000503-00-0043,C01,C13,C15,C11,C05,C09,C04,,,,,,,,,
000503-00-0046,C01,C13,C15,C02,C05,C09,C11,C03,,,,,,,,
000503-00-0064,C01,,,,,,,,,,,,,,,
000503-00-0066,C01,,,,,,,,,,,,,,,
000503-00-0070,C01,C15,,,,,,,,,,,,,,
000503-00-0073,C01,C16,C09,C13,,,,,,,,,,,,
000503-00-0076,C01,C16,C12,C11,,,,,,,,,,,,
000503-00-0095,C01,C12,C06,C16,C05,C11,C15,,,,,,,,,
000503-00-0098,C01,C02,C13,C16,C04,C12,C09,C05,,,,,,,,
000503-00-0116,C01,C15,C06,,,,,,,,,,,,,
000503-00-0121,C01,C13,C12,C09,,,,,,,,,,,,
000503-00-0122,C01,C02,C13,,,,,,,,,,,,,
000503-00-0145,C01,C05,C12,C16,C06,C02,C09,,,,,,,,,
000503-00-0150,C01,C13,C16,C07,C02,,,,,,,,,,,
000503-00-0168,C01,C02,C16,C09,C12,C15,C04,,,,,,,,,
000503-00-0171,C01,C02,C16,C09,C12,C11,C15,,,,,,,,,
000503-00-0174,C01,C02,C07,C11,C13,C03,C05,C06,C09,C15,,,,,,
000503-00-0189,C01,C05,C13,C09,C16,C02,C04,C07,C15,C14,C11,C12,C10,C06,C08,
000503-00-0190,C01,C13,C02,,,,,,,,,,,,,
000503-00-0211,C01,C05,,,,,,,,,,,,,,
000503-00-0214,C01,C13,,,,,,,,,,,,,,
000503-00-0220,C01,C09,C05,C12,C15,C06,,,,,,,,,,
000503-00-0224,C01,C02,C09,C12,C13,C04,C16,C15,C11,,,,,,,
000503-00-0238,C01,C12,C06,C16,C11,C15,C05,C13,,,,,,,,
000503-00-0264,C01,C14,C15,,,,,,,,,,,,,
000503-00-0269,C01,C02,C06,C11,C13,C03,,,,,,,,,,
000503-00-0272,C01,,,,,,,,,,,,,,,
000503-00-0277,C01,C02,C12,C09,C13,C11,,,,,,,,,,
000503-00-0283,C01,,,,,,,,,,,,,,,
000503-00-0311,C01,C02,C03,C16,,,,,,,,,,,,
000503-00-0312,C01,C03,C07,C05,C02,C06,C09,C12,C13,C10,C15,C14,C16,C04,C11,C08
000503-00-0314,C01,C12,C13,C02,C16,C09,C05,C04,C11,,,,,,,
000503-00-0319,C01,C15,C06,C02,C08,C05,,,,,,,,,,
000503-00-0333,C01,C05,C13,C10,C12,,,,,,,,,,,
000503-00-0385,C01,C13,C16,C02,C09,C12,C04,C05,C11,,,,,,,
000503-00-0387,C01,C13,C15,C09,C02,C06,C16,C12,C03,,,,,,,
000503-00-0393,C01,,,,,,,,,,,,,,,
000503-00-0394,C01,,,,,,,,,,,,,,,
000503-00-0395,C01,C05,C09,C13,C15,C16,C14,C06,C03,,,,,,,
000503-00-0412,C01,C02,C13,C11,C16,C15,,,,,,,,,,
000503-00-0416,C01,C13,C14,C15,C16,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,
000503-00-0423,C01,C12,,,,,,,,,,,,,,
000503-00-0424,C01,C12,C13,C05,C16,C04,,,,,,,,,,
000503-00-0433,C01,C12,C13,C16,C04,C05,C06,,,,,,,,,
000503-00-0445,C01,C02,C11,,,,,,,,,,,,,
000503-00-0455,C01,C13,C02,C09,C12,C11,,,,,,,,,,
