rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9
C01,C04,C03,C05,C09,C02,C08,skipped,skipped
C01,C02,skipped,skipped,skipped,skipped,skipped,skipped,skipped
C01,C03,skipped,skipped,skipped,skipped,skipped,skipped,skipped
C01,C04,skipped,skipped,skipped,skipped,skipped,skipped,skipped
C01,C02,skipped,skipped,skipped,skipped,skipped,skipped,skipped
C01,C03,C08,skipped,skipped,skipped,skipped,skipped,skipped
C01,C03,skipped,skipped,skipped,skipped,skipped,skipped,skipped
C01,C02,C09,skipped,skipped,skipped,skipped,skipped,skipped
C01,C02,C09,skipped,skipped,skipped,skipped,skipped,skipped
C01,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
C01,C03,C06,C02,skipped,skipped,skipped,skipped,skipped
C01,C02,C09,skipped,skipped,skipped,skipped,skipped,skipped
C01,C07,C08,skipped,skipped,skipped,skipped,skipped,skipped
C01,C04,C02,C08,skipped,skipped,skipped,skipped,skipped
C01,C08,C07,C02,C05,C09,skipped,skipped,skipped
C01,C04,C08,skipped,skipped,skipped,skipped,skipped,skipped
C01,C03,C02,C06,C08,C09,C04,C05,C07
C01,C04,C09,skipped,skipped,skipped,skipped,skipped,skipped
C01,C02,C03,C04,skipped,skipped,skipped,skipped,skipped
C01,C02,skipped,skipped,skipped,skipped,skipped,skipped,skipped
C01,C03,C02,C07,C06,skipped,skipped,skipped,skipped
C01,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
C01,C02,C03,C04,C05,C08,skipped,skipped,skipped
C01,C09,C03,C06,skipped,skipped,skipped,skipped,skipped
C01,C08,C02,C04,C05,skipped,skipped,skipped,skipped
C01,C09,C08,C04,C05,C03,C02,skipped,skipped
C01,C02,C03,skipped,skipped,skipped,skipped,skipped,skipped
C01,C03,C08,C06,skipped,skipped,skipped,skipped,skipped
C01,C02,C03,C04,skipped,skipped,skipped,skipped,skipped
C01,C02,C03,C04,skipped,skipped,skipped,skipped,skipped
C01,C08,C03,C02,C04,C05,skipped,skipped,skipped
C01,C02,skipped,skipped,skipped,skipped,skipped,skipped,skipped
C01,C03,C08,C02,C04,C05,skipped,skipped,skipped
C01,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
